Sucesso,Melhor Fitness,Numero de gerações
False,49989,120
False,49992,118
True,50000,109
False,49997,129
False,49978,211
False,49996,163
False,49998,135
False,49999,171
False,49994,117
True,50000,84
False,49994,205
True,50000,31
False,49989,108
False,49997,112
False,49996,116
False,49999,185
False,49999,149
False,49991,124
False,49980,111
False,49999,118
False,49998,111
False,49995,113
False,49998,111
False,49998,119
False,49988,112
False,49991,120
False,49996,157
False,49997,111
False,49997,113
False,49979,112
True,50000,55
True,50000,59
False,49998,192
False,49997,120
False,49998,123
False,49995,131
False,49994,133
False,49998,139
False,49997,172
False,49988,109
False,49987,118
False,49999,113
False,49985,108
False,49995,184
False,49997,213
False,49999,190
False,49996,113
False,49996,204
False,49997,205
False,49999,113
False,49998,113
False,49999,113
False,49982,173
False,49999,130
True,50000,140
False,49996,117
True,50000,65
False,49993,114
True,50000,148
False,49989,163
False,49999,154
False,49996,112
True,50000,12
False,49798,108
False,49995,111
True,50000,16
True,50000,52
False,49990,196
False,49992,109
False,49999,126
False,49999,191
False,49989,117
False,49994,110
False,49997,123
False,49997,219
False,49308,114
False,49993,181
False,49997,126
False,49992,115
False,49991,114
True,50000,28
False,49996,113
True,50000,100
False,49999,211
True,50000,62
False,49998,110
False,49998,258
False,49996,137
True,50000,13
False,49998,120
False,49999,117
True,50000,141
True,50000,9
False,49998,123
True,50000,42
False,49998,182
False,49999,193
False,49997,126
False,49988,111
True,50000,8
