Sucesso,Melhor Fitness,Numero de gerações
True,50000,13
True,50000,12
True,50000,13
True,50000,11
True,50000,12
True,50000,13
True,50000,12
True,50000,12
True,50000,11
True,50000,10
True,50000,11
True,50000,12
True,50000,12
True,50000,12
True,50000,12
True,50000,11
True,50000,10
True,50000,12
True,50000,10
True,50000,12
True,50000,12
True,50000,10
True,50000,11
True,50000,12
True,50000,11
True,50000,12
True,50000,13
True,50000,11
True,50000,11
True,50000,13
True,50000,12
True,50000,11
True,50000,11
True,50000,12
True,50000,11
True,50000,12
True,50000,11
True,50000,12
True,50000,12
True,50000,13
True,50000,11
True,50000,11
True,50000,12
True,50000,11
True,50000,12
True,50000,12
True,50000,11
True,50000,11
True,50000,12
True,50000,12
True,50000,12
True,50000,12
True,50000,12
True,50000,12
True,50000,10
True,50000,12
True,50000,11
True,50000,11
True,50000,13
True,50000,13
True,50000,13
True,50000,12
True,50000,11
True,50000,11
True,50000,11
True,50000,12
True,50000,12
True,50000,12
True,50000,12
True,50000,10
True,50000,13
True,50000,11
True,50000,12
True,50000,12
True,50000,10
True,50000,12
True,50000,12
True,50000,11
True,50000,13
True,50000,12
True,50000,13
True,50000,9
True,50000,11
True,50000,11
True,50000,10
True,50000,12
True,50000,11
True,50000,13
True,50000,12
True,50000,12
True,50000,12
True,50000,13
True,50000,12
True,50000,12
True,50000,11
True,50000,11
True,50000,11
True,50000,11
True,50000,12
True,50000,12
